0,1,2,3,4,5,time,classifier,pseudotime_index,pseudotime
0.9858576,0.005752326,8.1460275e-05,0.008087513,9.7527176e-05,0.00012360519,81,c2,81,0.6723641
0.8950627,0.0356451,0.00028454745,0.06876267,0.00010423744,0.00014075001,83,c2,83,0.6725976
0.9302121,0.025167013,0.00020080853,0.04418274,9.587777e-05,0.0001414117,85,c2,85,0.6739024
0.96457636,0.013971024,0.00011859355,0.021106001,9.123641e-05,0.00013687118,87,c2,87,0.67498314
0.9736506,0.010809104,9.27181e-05,0.0152274575,8.8949804e-05,0.000131266,89,c2,89,0.67604
0.9730823,0.011305696,8.645418e-05,0.015303757,8.968626e-05,0.00013203548,91,c2,91,0.67798924
0.98768604,0.0059520425,5.0330345e-05,0.0061030514,8.346804e-05,0.0001250499,93,c2,93,0.6786741
0.99256116,0.003755915,3.6753594e-05,0.0034521248,8.109473e-05,0.000113001515,95,c2,95,0.6795744
0.9948344,0.0027028155,2.9859179e-05,0.0022500104,8.041775e-05,0.000102480866,97,c2,97,0.6799602
0.99674475,0.0018647126,2.2806586e-05,0.0011949387,7.758622e-05,9.5228024e-05,99,c2,99,0.68174076
0.9979103,0.0012524712,1.90047e-05,0.0006592639,7.633788e-05,8.253352e-05,101,c2,101,0.6828178
0.99849296,0.0009360318,1.6631266e-05,0.00040512264,7.5697804e-05,7.353022e-05,103,c2,103,0.6845103
0.9978758,0.001468707,1.591349e-05,0.00046914525,6.918691e-05,0.00010118187,105,c2,105,0.68602294
0.99071515,0.006400354,2.7145154e-05,0.0026164183,6.6408495e-05,0.00017448635,107,c2,107,0.6886268
0.9939355,0.004323107,1.9901128e-05,0.0014933842,6.3651365e-05,0.00016441135,109,c2,109,0.6982267
0.99476564,0.0038311747,1.6985128e-05,0.001158009,6.299706e-05,0.000165309,111,c2,111,0.69959027
0.9960043,0.002929951,1.4493232e-05,0.0008359371,6.1362975e-05,0.00015394787,113,c2,113,0.70303184
