time,state,smoothing,residuals,variance,ac1,pseudotime_index,pseudotime
115,-7.0788493,,,,,115,0.70394695
116,-6.1427093,,,,,116,0.7043365
117,-7.0812426,,,,,117,0.70499986
118,-7.0884237,,,,,118,0.7051946
119,-6.040019,,,,,119,0.7052958
120,-5.957212,,,,,120,0.705631
121,-5.875267,,,,,121,0.705762
122,-7.1254296,,,,,122,0.70588875
123,-6.2944355,,,,,123,0.70593005
124,-5.7862954,,,,,124,0.7060336
125,-6.198585,,,,,125,0.70612407
126,-6.223691,,,,,126,0.70614576
127,-5.8583393,,,,,127,0.70622945
128,-7.1780195,,,,,128,0.70630807
129,-7.0787473,,,,,129,0.7064351
130,-7.151153,,,,,130,0.70671654
131,-5.5590715,,,,,131,0.7067432
132,-7.1072855,,,,,132,0.70695275
133,-5.85053,,,,,133,0.70740575
134,-6.2839437,,,,,134,0.707489
135,-7.0972466,,,,,135,0.70759034
136,-5.8720365,,,,,136,0.70771724
137,-7.111347,,,,,137,0.7080095
138,-6.3563457,,,,,138,0.7080901
139,-7.180265,,,,,139,0.70830154
140,-7.096183,,,,,140,0.7084371
141,-6.4311914,,,,,141,0.7087905
142,-6.6120977,,,,,142,0.70903146
143,-6.391928,,,,,143,0.70906
144,-6.9550576,,,,,144,0.7091645
145,-5.6663322,,,,,145,0.7092975
146,-6.403298,,,,,146,0.70931166
147,-6.9356804,,,,,147,0.70969313
148,-5.603746,,,,,148,0.7099481
149,-6.9378824,,,,,149,0.71004575
150,-5.519766,,,,,150,0.7108064
151,-5.380494,,,,,151,0.7109186
152,-5.7453923,,,,,152,0.7111135
153,-6.720501,,,,,153,0.7112027
154,-5.40701,,,,,154,0.71143913
155,-6.7516937,,,,,155,0.7116967
156,-6.1267424,,,,,156,0.71198094
157,-6.941805,,,,,157,0.712085
158,-6.916384,,,,,158,0.71233606
159,-7.016835,,,,,159,0.71266246
160,-7.042066,,,,,160,0.7130436
161,-7.0632305,,,,,161,0.71350336
162,-5.204602,,,,,162,0.7135724
163,-6.6616096,,,,,163,0.7138617
164,-6.858364,,,,,164,0.7141769
165,-7.0020795,,,,,165,0.71434593
166,-6.9912605,,,,,166,0.7145096
167,-6.941687,,,,,167,0.7146916
168,-6.933111,,,,,168,0.7148382
169,-6.9279604,,,,,169,0.71518934
170,-6.9415903,,,,,170,0.7156783
171,-5.169152,,,,,171,0.71613365
172,-5.334963,,,,,172,0.71649516
173,-7.0158157,,,,,173,0.71680135
174,-6.562743,,,,,174,0.71691877
175,-7.005119,,,,,175,0.71749294
176,-6.833075,,,,,176,0.7180666
177,-5.306331,,,,,177,0.71865994
178,-6.7964287,,,,,178,0.7193319
179,-5.4300714,,,,,179,0.719845
180,-6.5810776,,,,,180,0.72037774
181,-6.859106,,,,,181,0.7205183
182,-5.2489486,,,,,182,0.72139186
183,-5.2212157,,,,,183,0.72174484
184,-6.7810726,,,,,184,0.72196174
185,-6.696738,,,,,185,0.7222832
186,-6.5606346,,,,,186,0.72293454
187,-5.3236923,,,,,187,0.7240304
188,-5.337517,,,,,188,0.7242924
189,-6.710346,,,,,189,0.7251056
190,-6.6296396,,,,,190,0.7252923
191,-6.6931977,,,,,191,0.72566086
192,-6.598574,,,,,192,0.72621536
193,-5.2466826,,,,,193,0.7266141
194,-4.8550878,,,,,194,0.72731787
195,-4.9376884,,,,,195,0.7284944
196,-6.5922327,,,,,196,0.7295519
197,-6.53846,,,,,197,0.7311975
198,-5.974309,,,,,198,0.7331196
199,-4.970629,,,,,199,0.73363
200,-4.984091,,,,,200,0.7343445
201,-5.91043,,,,,201,0.7346688
202,-6.049255,,,,,202,0.73582256
203,-6.1711035,,,,,203,0.73689914
204,-4.8908906,,,,,204,0.737553
205,-4.58683,,,,,205,0.7380548
206,-6.3196163,,,,,206,0.7382079
207,-4.88867,,,,,207,0.7383679
208,-5.72058,,,,,208,0.7393409
209,-4.847963,,,,,209,0.7399157
210,-4.5082827,,,,,210,0.74063605
211,-4.802288,,,,,211,0.7424526
212,-6.4534397,,,,,212,0.74262494
213,-4.78548,,,,,213,0.74335545
214,-4.6664968,,,,,214,0.74398553
215,-6.2961493,,,,,215,0.7445003
216,-4.807624,,,,,216,0.7448256
217,-7.0277414,,,,,217,0.74560887
218,-4.4338484,,,,,218,0.7460188
219,-4.8869376,,,,,219,0.7465884
220,-4.3148355,,,,,220,0.7467122
221,-5.5399804,,,,,221,0.7467579
222,-6.424282,,,,,222,0.74768656
223,-4.857916,,,,,223,0.7482517
224,-7.037234,,,,,224,0.74882185
225,-4.3652663,,,,,225,0.749391
226,-4.718477,,,,,226,0.7500948
227,-6.3183317,,,,,227,0.7509531
228,-4.6328053,,,,,228,0.75107276
229,-5.621987,,,,,229,0.75275326
230,-6.1828413,,,,,230,0.7536863
231,-5.3558435,,,,,231,0.75415844
232,-5.599587,,,,,232,0.7549756
233,-5.9514604,,,,,233,0.75515336
234,-4.51281,,,,,234,0.75529563
235,-6.380334,,,,,235,0.7555643
236,-7.057485,,,,,236,0.75616735
237,-6.1913643,,,,,237,0.7567314
238,-5.2496405,,,,,238,0.75765014
239,-6.1763263,,,,,239,0.75864804
240,-4.4481583,,,,,240,0.7603065
241,-4.266998,,,,,241,0.7607028
242,-3.9144642,,,,,242,0.7610064
243,-4.081677,,,,,243,0.7611102
244,-5.92484,,,,,244,0.7617677
245,-3.4211354,,,,,245,0.7618864
246,-5.7276106,,,,,246,0.76208
247,-5.9798098,,,,,247,0.7622926
248,-3.4833133,,,,,248,0.7624269
249,-3.9695718,,,,,249,0.7624576
250,-3.734356,,,,,250,0.7625356
251,-3.631597,,,,,251,0.7626882
252,-3.7027702,,,,,252,0.7627212
253,-5.566217,,,,,253,0.7629463
254,-6.1009793,,,,,254,0.763088
255,-5.570816,,,,,255,0.7631816
256,-3.7382114,,,,,256,0.7633786
257,-3.8692296,,,,,257,0.76339215
258,-3.6598868,,,,,258,0.7634566
259,-3.8263721,,,,,259,0.76353735
260,-3.7874775,,,,,260,0.76359165
261,-4.151928,,,,,261,0.7637348
262,-3.789146,,,,,262,0.7638726
263,-3.63038,,,,,263,0.76424354
264,-3.528264,,,,,264,0.7643173
265,-3.6978693,,,,,265,0.76436305
266,-3.6948261,,,,,266,0.7643853
267,-3.6370509,,,,,267,0.7644667
268,-4.096533,,,,,268,0.7646555
269,-5.392616,,,,,269,0.76467466
270,-4.478031,,,,,270,0.7650324
271,-3.5245106,,,,,271,0.76513195
272,-4.1151133,,,,,272,0.76535463
273,-4.061508,,,,,273,0.7654559
274,-4.23092,,,,,274,0.7655729
275,-4.289049,,,,,275,0.7655777
276,-3.5120525,,,,,276,0.7657171
277,-4.093373,,,,,277,0.7657534
278,-4.263905,,,,,278,0.76582307
279,-3.846749,,,,,279,0.76588887
280,-3.7789414,,,,,280,0.76593065
